author_name,rating,text
黃意婷,1,"等了二十分鐘，後面人的餐點都到了，也沒關係。但是前面的店員發現我要去醬所以重烤了一次吐司，慢了一點也是沒關係。但後面那個店員烤好了吐司，依然抹上醬了，腿排也因為等待兩次吐司的過程中完全冷掉變硬了。
真的是有史以來最差的一次路易莎體驗，如果選項都已經列上去醬，那為什麼店員就不能用心一點呢⋯。如果客人因為會產生過敏反應而點了去醬，現在這個到底該不該吃呢⋯？就算不吃吐司，生菜和肉的部分也都沾到醬了啊⋯"
萬孟賢,1,"明顯感受出換了一個大的、新的店面，員工訓練卻完全沒跟上重點直營店該有的素質。

來過好多次，每次都等等等到死，員工身手不俐落、怠慢、搞不清楚狀況；我也在咖啡店工作過知道中午忙碌會很有壓力，不是不能等，但至少展現出積極想消化掉等待人潮的誠意嘛？

所以前面幾次尚不算嚴重的消費體驗並沒有讓我上來給差評，直到今天真的被氣到：

12:20左右開始排隊
12:30左右購買了2包咖啡豆，新手眼鏡男結帳，詢問老鳥紅髮女，告知磨豆約要再等20分鐘 …"
bo bobo,1,"餐點裡吃到頭髮
不過以這家店員的態度 他們大概也不會當一回事

—-
不附照片店家見獵心喜 趕快回我
其他有附照片當證據的人不敢回
我沒拍到照 我也不會給你們機會再點
Louisa大家還是選評價高於四分的 才不會被雷
大家評價差 有他的道理的"
曾貽（kim）,1,"今天下午四五點在熊貓點了焦糖蘋果派跟藍莓貝果
結果有焦糖蘋果派無法出貨 ，但通常要先聯繫客人再決定要不要出另一個品項吧？？？就擅自只送藍莓貝果？？
超級無敵傻眼 重點還超難吃"
Chiawei Yang,1,"女店員態度爛到一個極點
且內用規定低消一杯45元「飲料」"
Chun Ku,3,"點磚壓吃到快一半才吃到料...
有料的地方也非常薄一層...
以為在吃烤兩片吐司
以磚壓品質來說，是吃過最差的路易莎分店"
ZihYang Zhou,1,店員笨手笨腳 動作有夠慢 餐點都好了還不趕快拿給客人 一整坨推在旁邊然後自己在擦餐盤？？？
阿薛,5,店員們親切可愛，餐點也做的很好吃、豐富實在。
he hen,1,"難怪評分那麼低
第一次遇到Louisa跟我說吐司不能切邊的
真的好笑"
zzz z,1,在我吃過無數個店家的貝果中 這家真的是有夠難吃...
陳方榕,4,"原本在118巷內是一家小店也只有老闆一人，展店成大馬路上的咖啡廳座位變多而且二樓的大落地窗視野非常美。但因為店員的操作收銀熟練程度不一且製作咖啡和餐點的速度較慢，連外帶常常都要等比較久。
有次詢問兩種乳酪蛋糕的差異竟然回答一個比較大塊一個比較小塊，雖然不影響繼續來這家店的意願，但希望可以漸漸改善這些美中不足的地方！"
Dora Chen,1,"每天都會在路易莎消費1-2次的我
真的沒遇過服務品質這麼糟糕的店員
尤其是那位染粉紅髮的女店員講話超不客氣
令人傻眼
以後絕對去別間分店買 不會再來"
KEN WU,1,動作很慢 點外帶一個炊米堡和一杯飲料 ，明明沒其他人在等，也等了快15分鐘，回去打開米堡還沒熟 米還有一些還是生的感覺⋯⋯
李懷民,1,"工作人員帶小朋友來上班，還讓小朋友站在送餐區給客人。也太不專業了吧？ 而且小朋友的口罩拉到下巴露出口鼻是覺得小朋友不需要防疫嗎？
不管你是主管還是啥的，在連鎖大企業這樣，一點都感受不到貴公司對服務的品質與熱忱。

#我不反對二度就業婦女，(基本上我很鼓勵)。但請不要把小孩帶到營業場所跟二度就業混為一談。還是說貴公司隨便誰都能進到吧台跟工作場域不需要任何專業的訓練嗎？

再者，小朋友做送餐的動作，是要算有給薪水→非法使用未滿15歲童工； …"
chia-ling Chien,2,在假日時段過來，座位幾乎都坐滿，外帶4杯飲料。習慣在路易莎點莊園美式咖啡（無糖），這味道跟小七美式沒什麼差別，相較之下跟同為路易莎其他分店比較，無豆香、濃郁度也有很大差異，至於其他飲品（義式巧克力、水果茶……也是無味）只能說位處地利之便，才能力保今日之盛景。
林子喬,1,"第一次看過路易莎有低消？？低消還不是一杯飲料或一份餐點而是45元⋯所以我想喝40元的飲料我還要硬點別的東西嗎？==
而且沒位子就沒位子 請客人去其他間好嗎 一直叫人換位子你不害臊？？
不說是路易莎我還以為是哪個北爛大嬸開的咖啡廳"
Kiwa Heri,1,出餐速度極慢，餐點等了40分鐘，按錯出餐領取牌，還是我去櫃檯問的（答：喔我按錯號了），我不問不就一直放那邊？自己看錯還理所當然。
梁育宸,1,"第一次遇到有低消的路易莎？？
但這就算了，有客人想內用沒位子就一直要求其他客人換位子給人多的坐？？
全台最低端路易莎沒有之一。"
Annie Huang,1,"蔬菜只有兩片小黃瓜兩片番茄
售價80？
我常常吃路易莎，每一家蔬菜份量都很足
這樣賣80是詐騙集團嗎？
不處理我會走法律途徑
還有客製化去邊也沒去,是因為用ubereats點餐，看不到客人品質都不用顧了嗎？"
Hy Yu,5,空間舒服，工作人員有禮，咖啡OK。
